59961vera 0.7138321399688721
vera 0.5955449342727661 
poliba 0.5543744564056396 
Veronika 0.5259623527526855 
Mika 0.6705765724182129 
Sasha 0.5777924855550131 
Vika 0.5923953056335449 0.45868396759033203 
Mick 0.5709154605865479 0.5192651748657227 2022-04-22
Vera 0.6586443583170573 0.5472559928894043 2022-04-22
Masha 0.5305020213127136 0.43619704246520996 2022-04-22
Nisha 0.9914150238037109 0.9914150238037109 2022-04-22
Ali 1.5638201236724854 1.5638201236724854 2022-04-23
Maria 0.046125173568725586 0.046125173568725586 2022-04-23
Boris 1.0173859596252441 1.0785490274429321 2022-04-23
Veronika 0.5593624114990234 0.6763979196548462 2022-04-23
Sveta 0.5175979137420654 0.5583511590957642 2022-04-23
Veronika 0.5009200572967529 0.6208488941192627 2022-04-23
Veronika 0.5452160835266113 0.6624189615249634 2022-04-23
Mama 0.5409674644470215 0.5409674644470215 2022-04-23
Misha 0.5256903171539307 0.5901180505752563 2022-04-23
Nika 0.09374237060546875 0.09374237060546875 2022-04-23
